antibiotic,model,f1_mean,f1_std,n_folds
SAM,A7X,0.9069034368619178,0.007530957130079291,5
SAM,MCR,0.8071406790449519,0.018165349153508342,5
SAM,MNM,0.8972570950251038,0.01242333992922857,5
SAM,PR,0.8924820941166811,0.006756558984066801,5
SAM,VB,0.9057274050671225,0.008579843985702404,5
SAM,raw,0.8786533484913281,0.010761369181356898,5
GM,A7X,0.6811177313498242,0.013821414680748453,5
GM,MCR,0.48514289456818194,0.029247462357652396,5
GM,MNM,0.659901202666436,0.026652414446942062,5
GM,PR,0.6688159571148781,0.03869966169075924,5
GM,VB,0.6735880995419994,0.03650019075521033,5
GM,raw,0.6486129589348302,0.02752331409792743,5
SXT,A7X,0.8900437302095439,0.008776693129362063,5
SXT,MCR,0.7924524315907434,0.015534410982980498,5
SXT,MNM,0.878156814317552,0.00937730424875625,5
SXT,PR,0.8796851895124831,0.013219690662357545,5
SXT,VB,0.8962259009973828,0.016188458001385776,5
SXT,raw,0.8589783453993638,0.00972274349031462,5
CIP,A7X,0.9118888751387821,0.00948355113197546,5
CIP,MCR,0.8183831135663308,0.01794963574986032,5
CIP,MNM,0.8946759664292131,0.012849674380569878,5
CIP,PR,0.8951046644567635,0.014455736136885387,5
CIP,VB,0.9128906810622013,0.01254609810183125,5
CIP,raw,0.8788646407179002,0.006945041281459826,5
