,source_file,input_type,accuracy,precision,recall,f1_score
0,soil-a,raw,0.7986111111111112,0.7,0.5121951219512195,0.5915492957746479
1,soil-a,latent,0.8888888888888888,0.6,1.0,0.7499999999999999
2,soil-b,raw,0.8977272727272727,0.9024390243902439,0.8809523809523809,0.8915662650602411
3,soil-b,latent,0.8181818181818182,0.8,0.8,0.8000000000000002
4,soil-c,raw,0.796875,0.6666666666666666,0.631578947368421,0.6486486486486486
5,soil-c,latent,0.875,0.5,1.0,0.6666666666666666
6,water-a,raw,0.9090909090909091,0.9302325581395349,0.8888888888888888,0.9090909090909092
7,water-a,latent,1.0,1.0,1.0,1.0
8,water-b,raw,0.859375,0.875,0.8484848484848485,0.8615384615384615
9,water-b,latent,1.0,1.0,1.0,1.0
10,water-c,raw,0.8125,0.8666666666666667,0.9285714285714286,0.896551724137931
11,water-c,latent,1.0,1.0,1.0,1.0
