,id,rmse,experiment,input_type,tgt_type,test_rep
0,soil-a-1_raw_segment128,0.19510666362094137,soil-a,raw,segment128,1
1,soil-a-1_latent_latent,0.18837231416921302,soil-a,latent,latent,1
2,soil-a-2_raw_segment128,0.14359051383996846,soil-a,raw,segment128,2
3,soil-a-2_latent_latent,0.15364877336586547,soil-a,latent,latent,2
4,soil-a-3_raw_segment128,0.17579320399013193,soil-a,raw,segment128,3
5,soil-a-3_latent_latent,0.17559105491887483,soil-a,latent,latent,3
6,soil-a-4_raw_segment128,0.1715719812222913,soil-a,raw,segment128,4
7,soil-a-4_latent_latent,0.1753887627624146,soil-a,latent,latent,4
8,soil-a-5_raw_segment128,0.16171442348161563,soil-a,raw,segment128,5
9,soil-a-5_latent_latent,0.18307579507610924,soil-a,latent,latent,5
10,soil-a-6_raw_segment128,0.20557571478338352,soil-a,raw,segment128,6
11,soil-a-6_latent_latent,0.19718015310970763,soil-a,latent,latent,6
12,soil-a-7_raw_segment128,0.19672281446628678,soil-a,raw,segment128,7
13,soil-a-7_latent_latent,0.1853345855818967,soil-a,latent,latent,7
14,soil-a-8_raw_segment128,0.1963440273727015,soil-a,raw,segment128,8
15,soil-a-8_latent_latent,0.18497052742794842,soil-a,latent,latent,8
16,soil-b-1_raw_segment128,0.20447037857634737,soil-b,raw,segment128,1
17,soil-b-1_latent_latent,0.15376954714436294,soil-b,latent,latent,1
18,soil-b-2_raw_segment128,0.20339740821979987,soil-b,raw,segment128,2
19,soil-b-2_latent_latent,0.1888343953334767,soil-b,latent,latent,2
20,soil-b-3_raw_segment128,0.21453376675549607,soil-b,raw,segment128,3
21,soil-b-3_latent_latent,0.19836441977730232,soil-b,latent,latent,3
22,soil-b-4_raw_segment128,0.14730166854564622,soil-b,raw,segment128,4
23,soil-b-4_latent_latent,0.15303515817315957,soil-b,latent,latent,4
24,soil-b-5_raw_segment128,0.18377174238225097,soil-b,raw,segment128,5
25,soil-b-5_latent_latent,0.18473299261237042,soil-b,latent,latent,5
26,soil-b-6_raw_segment128,0.26309325141335804,soil-b,raw,segment128,6
27,soil-b-6_latent_latent,0.18458242742853112,soil-b,latent,latent,6
28,soil-b-7_raw_segment128,0.2143820071111303,soil-b,raw,segment128,7
29,soil-b-7_latent_latent,0.23390898520275336,soil-b,latent,latent,7
30,soil-b-8_raw_segment128,0.21383558327340046,soil-b,raw,segment128,8
31,soil-b-8_latent_latent,0.21413765458511524,soil-b,latent,latent,8
32,soil-c-1_raw_segment128,0.14691580926288283,soil-c,raw,segment128,1
33,soil-c-1_latent_latent,0.1458910735293667,soil-c,latent,latent,1
34,soil-c-2_raw_segment128,0.15322410335681327,soil-c,raw,segment128,2
35,soil-c-2_latent_latent,0.14583137825130676,soil-c,latent,latent,2
36,soil-c-3_raw_segment128,0.15328891979890014,soil-c,raw,segment128,3
37,soil-c-3_latent_latent,0.17097782657005198,soil-c,latent,latent,3
38,soil-c-4_raw_segment128,0.1831984063892984,soil-c,raw,segment128,4
39,soil-c-4_latent_latent,0.15905543701469665,soil-c,latent,latent,4
40,soil-c-5_raw_segment128,0.17677960932162684,soil-c,raw,segment128,5
41,soil-c-5_latent_latent,0.18657639227582803,soil-c,latent,latent,5
42,soil-c-6_raw_segment128,0.17134937558374166,soil-c,raw,segment128,6
43,soil-c-6_latent_latent,0.14677110259895407,soil-c,latent,latent,6
44,soil-c-7_raw_segment128,0.1864667516254773,soil-c,raw,segment128,7
45,soil-c-7_latent_latent,0.18374690031782537,soil-c,latent,latent,7
46,soil-c-8_raw_segment128,0.1379961073568174,soil-c,raw,segment128,8
47,soil-c-8_latent_latent,0.14961918937527782,soil-c,latent,latent,8
48,water-a-1_raw_segment128,0.2720255255705176,water-a,raw,segment128,1
49,water-a-1_latent_latent,0.26760542725843384,water-a,latent,latent,1
50,water-a-2_raw_segment128,0.19713210797467823,water-a,raw,segment128,2
51,water-a-2_latent_latent,0.17153465827319797,water-a,latent,latent,2
52,water-a-3_raw_segment128,0.21062826352857564,water-a,raw,segment128,3
53,water-a-3_latent_latent,0.15664331350857966,water-a,latent,latent,3
54,water-a-4_raw_segment128,0.22577776256011822,water-a,raw,segment128,4
55,water-a-4_latent_latent,0.1843305555853962,water-a,latent,latent,4
56,water-a-5_raw_segment128,0.2041968479828176,water-a,raw,segment128,5
57,water-a-5_latent_latent,0.19869105596968156,water-a,latent,latent,5
58,water-a-6_raw_segment128,0.20876303558563244,water-a,raw,segment128,6
59,water-a-6_latent_latent,0.17316645427244948,water-a,latent,latent,6
60,water-a-7_raw_segment128,0.2370206415139016,water-a,raw,segment128,7
61,water-a-7_latent_latent,0.24040874322963954,water-a,latent,latent,7
62,water-a-8_raw_segment128,0.2357614219194359,water-a,raw,segment128,8
