,file_name,intrinsic_dimensions,k1,k2
0,zach_growth_curves_2023-03-27_3_y.npy,2.1936126091449557,10.0,20.0
1,zhixiang_zy_comb_lt7_day7_gfp_y.npy,4.147554782216099,10.0,20.0
2,carolyn_11252018_resistome_longterm_TS30_47-2_y.npy,2.1002027897755333,10.0,20.0
3,carolyn_Plate 91 Trial 3_y.npy,3.0122820322064388,10.0,20.0
4,zhixiang_zy_comb_lt8_day3_gfp_y.npy,4.02387368693698,10.0,20.0
5,carolyn_20170904_Fowler_24-46_LB_Carb-5ugml_10000x_y.npy,2.206266647924666,10.0,20.0
6,carolyn_20170907_Fowler_139-161_LB_Carb-5ugml_10000x_y.npy,2.3667796728875574,10.0,20.0
7,schluter_ca9512587998e63dcd50b2_y.npy,5.185749869152249,10.0,20.0
8,zach_other_2020-12-15 mCherry Capsule Supernatant_y.npy,-1,10.0,20.0
9,zhixiang_zy_comb_lt8_day0_od600_y.npy,2.340700024577318,10.0,20.0
10,lopatkin_lab_8.3.001_Day21_Day21_Col2_KS_20210812_Day21_Col2_y.npy,1.5262576447358753,10.0,20.0
11,schluter_0f0e735fb05b8dfd877424_y.npy,5.133381393176844,10.0,20.0
12,schluter_3bf14dbd427c9a2f06180e_y.npy,4.208935488497812,10.0,20.0
13,carolyn_20170822_Anderson_1-23_LB_100x_y.npy,2.6396142319538454,10.0,20.0
14,schluter_8dc3170c78f80dd01a3895_y.npy,5.181591366258526,10.0,20.0
15,chory_lab_Turbidostat Experiments_20220809_224F 9x1 2320x enrichment_00001_2024-03-25 Absorbances_plate_0_y.npy,7.161368685676309,10.0,20.0
16,zach_other_2022-01-20 MC4100z1 alh qs-cat_y.npy,2.3284226512057797,10.0,20.0
17,zhixiang_zy_comb_lt7_day5_od600_y.npy,4.407407434638846,10.0,20.0
18,zhixiang_gfp_lt_2_rif2_day3_gfp_y.npy,2.7997873928935832,10.0,20.0
19,zach_other_2019-10-31_BlaM_FJTimer_ePop_y.npy,12.882752460618025,10.0,20.0
20,cesar_2023-08-27-SulbactamResistant_y.npy,2.396418642301924,10.0,20.0
21,chory_lab_Kinetics Experiments_2021-08-06 AARS PRANCE pED1a5_pEC182d_2024-03-26 Absorbances_reader_plate_10_y.npy,4.580668655009964,10.0,20.0
22,schluter_49b563d9c1431d19da341f_y.npy,-1,10.0,20.0
23,zhixiang_zy_comb_lt10_day0_od600_y.npy,2.2703965338905943,10.0,20.0
24,schluter_e79d84eae0b4a108703649_y.npy,4.329091010796679,10.0,20.0
