model_type,input_type,2,4,6,8,12,16,20,24,32
A7X,latent,0.736,0.849,0.879,0.888,0.887,0.883,0.889,0.889,0.892
A7X,raw,0.877,0.877,0.877,0.877,0.877,0.877,0.877,0.877,0.877
MCR,latent,0.357,0.677,0.803,0.83,0.843,0.856,0.85,0.864,0.874
MCR,raw,0.877,0.877,0.877,0.877,0.877,0.877,0.877,0.877,0.877
MNM,latent,0.73,0.861,0.885,0.882,0.893,0.894,0.9,0.897,0.895
MNM,raw,0.877,0.877,0.877,0.877,0.877,0.877,0.877,0.877,0.877
PR,latent,0.723,0.847,0.884,0.89,0.886,0.889,0.888,0.89,0.886
PR,raw,0.877,0.877,0.877,0.877,0.877,0.877,0.877,0.877,0.877
VB,latent,0.719,0.837,,0.887,,0.893,,,0.892
VB,raw,0.877,0.877,,0.877,,0.877,,,0.877
