model_type,input_type,2,4,6,8,12,16,20,24,32
A7X,latent,0.783,0.87,0.881,0.9,0.899,0.879,0.885,0.885,0.883
A7X,raw,0.879,0.879,0.879,0.879,0.879,0.879,0.879,0.879,0.879
MCR,latent,0.631,0.777,0.793,0.789,0.83,0.84,0.858,0.844,0.858
MCR,raw,0.879,0.879,0.879,0.879,0.879,0.879,0.879,0.879,0.879
MNM,latent,0.789,0.876,0.873,0.88,0.888,0.899,0.897,0.894,0.896
MNM,raw,0.879,0.879,0.879,0.879,0.879,0.879,0.879,0.879,0.879
PR,latent,0.79,0.837,0.858,0.875,0.891,0.897,0.9,0.896,0.887
PR,raw,0.879,0.879,0.879,0.879,0.879,0.879,0.879,0.879,0.879
VB,latent,0.78,0.847,,0.893,,0.906,,,0.895
VB,raw,0.879,0.879,,0.879,,0.879,,,0.879
