model_type,input_type,2,4,6,8,12,16,20,24,32
A7X,latent,0.354,0.537,0.609,0.669,0.643,0.672,0.667,0.632,0.669
A7X,raw,0.639,0.639,0.639,0.639,0.639,0.639,0.639,0.639,0.639
MCR,latent,0.185,0.41,0.462,0.448,0.51,0.55,0.561,0.53,0.632
MCR,raw,0.639,0.639,0.639,0.639,0.639,0.639,0.639,0.639,0.639
MNM,latent,0.412,0.57,0.588,0.614,0.639,0.643,0.688,0.69,0.645
MNM,raw,0.639,0.639,0.639,0.639,0.639,0.639,0.639,0.639,0.639
PR,latent,0.351,0.551,0.568,0.627,0.636,0.613,0.558,0.569,0.547
PR,raw,0.639,0.639,0.639,0.639,0.639,0.639,0.639,0.639,0.639
VB,latent,0.331,0.586,,0.648,,0.636,,,0.621
VB,raw,0.639,0.639,,0.639,,0.639,,,0.639
