model_type,input_type,2,4,6,8,12,16,20,24,32
A7X,latent,0.792,0.87,0.894,0.907,0.9,0.901,0.9,0.898,0.898
A7X,raw,0.879,0.879,0.879,0.879,0.879,0.879,0.879,0.879,0.879
MCR,latent,0.594,0.784,0.795,0.807,0.827,0.862,0.867,0.86,0.87
MCR,raw,0.879,0.879,0.879,0.879,0.879,0.879,0.879,0.879,0.879
MNM,latent,0.797,0.871,0.885,0.897,0.903,0.901,0.905,0.905,0.9
MNM,raw,0.879,0.879,0.879,0.879,0.879,0.879,0.879,0.879,0.879
PR,latent,0.804,0.853,0.883,0.892,0.895,0.901,0.891,0.892,0.893
PR,raw,0.879,0.879,0.879,0.879,0.879,0.879,0.879,0.879,0.879
VB,latent,0.792,0.868,,0.906,,0.914,,,0.913
VB,raw,0.879,0.879,,0.879,,0.879,,,0.879
