model_type,input_type,2,4,6,8,12,16,20,24,32
A7X,latent,0.752,0.859,0.861,0.878,0.859,0.857,0.861,0.859,0.858
A7X,raw,0.858,0.858,0.858,0.858,0.858,0.858,0.858,0.858,0.858
MCR,latent,0.538,0.757,0.76,0.767,0.804,0.809,0.83,0.82,0.83
MCR,raw,0.858,0.858,0.858,0.858,0.858,0.858,0.858,0.858,0.858
MNM,latent,0.764,0.847,0.856,0.862,0.863,0.861,0.866,0.864,0.855
MNM,raw,0.858,0.858,0.858,0.858,0.858,0.858,0.858,0.858,0.858
PR,latent,0.768,0.825,0.845,0.857,0.862,0.86,0.868,0.863,0.86
PR,raw,0.858,0.858,0.858,0.858,0.858,0.858,0.858,0.858,0.858
VB,latent,0.761,0.855,,0.874,,0.876,,,0.865
VB,raw,0.858,0.858,,0.858,,0.858,,,0.858
