,file_name,r2_train_all,r2_test_all
0,zach_growth_curves_2023-03-27_3_y.npy,0.9988485499036329,0.9971100639600358
1,zhixiang_zy_comb_lt7_day7_gfp_y.npy,0.9958701705528913,0.9909323704344086
2,carolyn_11252018_resistome_longterm_TS30_47-2_y.npy,0.9990928824439587,0.9991580060977295
3,carolyn_Plate 91 Trial 3_y.npy,0.9972356720811552,0.9968299757894281
4,zhixiang_zy_comb_lt8_day3_gfp_y.npy,0.9980068066160693,0.9981146998437979
5,carolyn_20170904_Fowler_24-46_LB_Carb-5ugml_10000x_y.npy,0.999018534202563,0.9994978541782492
6,carolyn_20170907_Fowler_139-161_LB_Carb-5ugml_10000x_y.npy,0.9994223219455334,0.9994450977461233
7,schluter_ca9512587998e63dcd50b2_y.npy,0.9819196975190099,0.9739439461697295
8,zach_other_2020-12-15 mCherry Capsule Supernatant_y.npy,0.6130846881315479,0.4078568865759806
9,zhixiang_zy_comb_lt8_day0_od600_y.npy,0.9997327810562087,0.999765713367992
10,lopatkin_lab_8.3.001_Day21_Day21_Col2_KS_20210812_Day21_Col2_y.npy,0.9989421569952455,0.9989762800924661
11,schluter_0f0e735fb05b8dfd877424_y.npy,0.9679051580603992,0.9592007031676345
12,schluter_3bf14dbd427c9a2f06180e_y.npy,0.977357008388089,0.9687890207908002
13,carolyn_20170822_Anderson_1-23_LB_100x_y.npy,0.9994074907678413,0.9991121847782878
14,schluter_8dc3170c78f80dd01a3895_y.npy,0.9824336827460214,0.9772765362274284
15,chory_lab_Turbidostat Experiments_20220809_224F 9x1 2320x enrichment_00001_2024-03-25 Absorbances_plate_0_y.npy,0.9943795747742382,0.9940695233218247
16,zach_other_2022-01-20 MC4100z1 alh qs-cat_y.npy,0.9995354130580824,0.999419494866653
17,zhixiang_zy_comb_lt7_day5_od600_y.npy,0.9981584172333511,0.9958798447153365
18,zhixiang_gfp_lt_2_rif2_day3_gfp_y.npy,0.9972837339999984,0.998548871774409
19,zach_other_2019-10-31_BlaM_FJTimer_ePop_y.npy,0.9831996230442218,0.9791555461366879
20,cesar_2023-08-27-SulbactamResistant_y.npy,0.9906689183010396,0.9848172856899181
21,chory_lab_Kinetics Experiments_2021-08-06 AARS PRANCE pED1a5_pEC182d_2024-03-26 Absorbances_reader_plate_10_y.npy,0.9786921392599434,0.9719995784238005
22,zhixiang_zy_comb_lt10_day0_od600_y.npy,0.9997485488618129,0.9997124607862229
23,schluter_e79d84eae0b4a108703649_y.npy,0.9758923937324091,0.9667508470357022
24,chory_lab_Kinetics Experiments_2021-10-29 IPTG 2Hphage pEC223 DRM 174cd_2024-03-26 Absorbances_reader_plate_5_y.npy,0.9975555648824992,0.9969556082856643
25,carolyn_12172018_resistome_longterm_TS30_52-2_y.npy,0.9990827420215008,0.9991608549267927
26,zach_other_2020-12-15 GFP Capsule Supernatant_y.npy,0.9965171285656074,0.9967398497647626
27,zach_growth_curves_2023-03-29_0_y.npy,0.9992523306938491,0.9991422553214804
28,carolyn_Plate 33 Trial 1_y.npy,0.9996425294684893,0.9996441083813478
29,rohan_216_od600_y.npy,0.9994682449404063,0.9994397937797953
30,chory_lab_Turbidostat Experiments_20221106_Linker Turbidostat 1_00001_2024-03-25 Absorbances_plate_0_y.npy,0.9851005665862809,0.32581834784380426
31,chory_lab_Kinetics Experiments_2022-10-12 224D 234a-c 235a-c_2024-03-26 Absorbances_reader_plate_9_y.npy,0.9858874882926302,0.9817183935022629
32,cesar_2023-11-03-CAHighBLA-Katherine_y.npy,0.9953546863772829,0.9961244418916673
33,schluter_438217fec2f2b07e73ced4_y.npy,0.9618061940276699,0.957904879702498
34,chory_lab_Kinetics Experiments_2021-07-16_Protease_Turbidostat_IPTG_ATC_replicate2_2024-03-26 Absorbances_reader_plate_3_y.npy,0.9905133674249594,0.9922516554965066
35,chory_lab_Kinetics Experiments_2022-04-11 psp AR2 comparison_2024-03-26 Absorbances_reader_plate_1_y.npy,0.9919328321051324,0.9928933146000006
36,chory_lab_Turbidostat Experiments_20220806_ScFv 9x1 224f 2430x_00001_2024-03-25 Absorbances_plate_1_y.npy,0.9851180872144593,0.9830288125877409
37,chory_lab_Kinetics Experiments_2021-08-05_AARS_PRANCE_2024-03-26 Absorbances_reader_plate_8_y.npy,0.9940752232018802,0.9958474638836956
38,schluter_4eb14350975528e03709a6_y.npy,0.9695027024955591,0.9721790042011389
