,model_name,model_type,z_dim,r2_train_all,r2_test_all,r2_train_sim,r2_test_sim,r2_train_exp,r2_test_exp
0,2025-01-30_conli_2_128_2024-08-16_all,A7X,2,0.9512158197959684,0.943077568055202,0.94077611470172,0.9387705769058562,0.9522752150339426,0.9456111178482104
0,2025-01-30_conli_4_128_2024-08-16_all,A7X,4,0.97522851033219,0.9703440802054514,0.9761272270048482,0.9754028971433478,0.9741485426884492,0.9691007644310888
0,2025-02-21_conli_6_128_2024-08-16_all,A7X,6,0.9853275406325804,0.9821610003817046,0.9879056210384162,0.9876865133815288,0.9841439960094452,0.9805906933330856
0,2025-02-21_conli_8_128_2024-08-16_all,A7X,8,0.9906652302242628,0.9880284998186872,0.993242193653316,0.9931301040387274,0.989637438075278,0.9866195001454116
0,2025-02-21_conli_12_128_2024-08-16_all,A7X,12,0.99090108493481,0.9885921706558348,0.9935647676668894,0.9934922601888068,0.9898553875377124,0.9872502353608236
0,2025-02-21_conli_16_128_2024-08-16_all,A7X,16,0.9909037241555406,0.9885175747323536,0.9936553308487616,0.9934601450604792,0.9898394303845351,0.987137917422022
0,2025-01-30_conli_20_128_2024-08-16_all,A7X,20,0.9904364940013812,0.9883443052399988,0.9934035931270088,0.993279288392384,0.9892992735376456,0.9869663717907352
0,2025-02-21_conli_24_128_2024-08-16_all,A7X,24,0.9907179300121008,0.9883473620534522,0.993476345261914,0.9933813670757852,0.9896464533991596,0.9869409515537952
0,2025-02-21_conli_32_128_2024-08-16_all,A7X,32,0.9909628548286769,0.9884523968277872,0.9935169656283253,0.9934747467322682,0.989942946332006,0.9870990306657031
0,microBERT_model_task_id_142.pth,MCR,2,0.0429317083766327,0.0422785039109663,-0.0382758521489181,-0.0382208479692542,0.0422322113402311,0.0417558698832145
0,microBERT_model_task_id_210.pth,MCR,4,0.6847023364159536,0.683978607718346,0.7275520908723587,0.7234331217095558,0.6650925031987689,0.6647462774248808
0,microBERT_model_task_id_204.pth,MCR,6,0.8613688063909182,0.8607637816234212,0.8608505021273154,0.8595697140866468,0.8581256340524801,0.8576963779888591
0,microBERT_model_task_id_196.pth,MCR,8,0.8899493750107869,0.8892737177696414,0.907609185080234,0.9067143691643622,0.8822618450662646,0.8818632388381109
0,microBERT_model_task_id_187.pth,MCR,12,0.932535608786332,0.9316826405522116,0.9494075040948028,0.94882507566184,0.9261057805328272,0.9254091955841756
0,microBERT_model_task_id_182.pth,MCR,16,0.9623791811964792,0.9615107651198344,0.9686956587343224,0.968486171084685,0.9596213748818732,0.9588852488599842
0,microBERT_model_task_id_93.pth,MCR,20,0.9739491766314112,0.9726521762732518,0.971056070191109,0.9707368092726564,0.9740817314940636,0.9726909182161864
0,microBERT_model_task_id_161.pth,MCR,24,0.9837731519281953,0.9827944287520256,0.9809680721705,0.9806843772456028,0.9841206932393194,0.983136739860889
0,microBERT_model_task_id_260.pth,MCR,32,0.9918838044286196,0.9913883470366104,0.9913671756246442,0.991283815844788,0.9918058170712966,0.9913060776164068
0,2025-01-28_livae_2_128_2024-08-16_all,MNM,2,0.9146394889591508,0.9123477466459796,0.9005019299608996,0.8977827739808208,0.916515077792398,0.9142984735554656
0,2025-01-30_livae_4_128_2024-08-16_all,MNM,4,0.9629899868857744,0.962292855940598,0.9663620153689912,0.9660435679675204,0.9610999432878214,0.9604809695080172
0,2025-01-28_livae_6_128_2024-08-16_all,MNM,6,0.9767790344188392,0.9762956575199924,0.9844500258447606,0.9842978280882576,0.974026663928451,0.9736096631103516
0,2025-01-30_livae_8_128_2024-08-16_all,MNM,8,0.984412239579368,0.9841066153908684,0.9911125635127532,0.9908841469743974,0.9821390581423864,0.981872453857224
0,2025-02-21_livae_12_128_2024-08-16_all,MNM,12,0.9927907473492842,0.9925209314995704,0.996387222974322,0.9963480748446089,0.9915997659397392,0.9912911936047396
0,2025-02-21_livae_16_128_2024-08-16_all,MNM,16,0.9954753788166804,0.9953340412904852,0.997398981754447,0.9973810403969162,0.9948226067396324,0.9946577212025948
0,2025-01-28_livae_20_128_2024-08-16_all,MNM,20,0.9978507620660044,0.9977887612620966,0.9982446202763448,0.9982394911035264,0.9976876137176252,0.9976092250087256
0,2025-01-28_livae_24_128_2024-08-16_all,MNM,24,0.9982815430818592,0.9982391425060814,0.9984549860657356,0.9984600091672168,0.998190704220904,0.9981351150449423
0,2025-02-21_livae_32_128_2024-08-16_all,MNM,32,0.9984204706128444,0.9983791194348224,0.9985265801623654,0.9985290115171862,0.9983519846278868,0.998298093193024
0,2025-01-28_pca_2,PR,2,0.7340753063219188,0.7335939044618325,0.7590817095402124,0.7553231787324405,0.7207030285404722,0.7204323343276319
0,2025-02-21_pca_4,PR,4,0.9098783662774572,0.9094119457779376,0.8981670179740576,0.8970653424077112,0.9109731362864952,0.9106042883687974
0,2025-02-21_pca_6,PR,6,0.9399750659502232,0.9395030738017512,0.9479657022733384,0.9474568926373252,0.9362360843087952,0.9359208544244052
0,2025-01-28_pca_8,PR,8,0.9563401938578118,0.9558739022233864,0.9697390505352552,0.9693694247557156,0.9514908939838131,0.9511138202153124
0,2025-01-28_pca_12,PR,12,0.9775745606770598,0.9772474146689838,0.9881686439380644,0.9880970443861404,0.9740425712308822,0.9737039666032522
0,2025-01-28_pca_16,PR,16,0.992739013145682,0.9926824763204528,0.9961295231013896,0.9961346509985046,0.9916068163033902,0.9915522366238922
0,2025-02-21_pca_20,PR,20,0.9986682194315052,0.9986343724407096,0.998802242856062,0.9988006392382748,0.9985984671978833,0.9985529490721308
0,2025-02-21_pca_24,PR,24,0.9991743749489852,0.9991702565669242,0.999306692607396,0.999307424653562,0.9991180617704783,0.9991076673718235
0,2025-02-21_pca_32,PR,32,0.9995093070381552,0.9995110510454488,0.9997302949440078,0.9997390358813611,0.9994359590450216,0.9994327638872296
0,2025-01-30_vae_2_128_2024-08-16_all,VB,2,0.9529993499169226,0.9442579800403516,0.9415610096473772,0.9406537415540936,0.9543125249597832,0.9469056975576072
0,2025-01-30_vae_4_128_2024-08-16_all,VB,4,0.977516299402962,0.9747800428782576,0.9763544655206098,0.9756695603890814,0.9771446503443044,0.9745109052452056
0,2025-01-28_vae_8_128_2024-08-16_all,VB,8,0.9905135596441106,0.9896797188272084,0.9935315065416483,0.9934171401061196,0.9894025544971932,0.988513141179308
0,2025-02-21_vae_16_128_2024-08-16_all,VB,16,0.997276179406456,0.9971881992945466,0.998880308975558,0.998878560283992,0.9967595828360192,0.9966467402205332
0,2025-02-27_vae_32_128_2024-08-16_experimental,VB,32,0.999274124992198,0.9992799573465192,0.999496794746748,0.9995004809947716,0.999194627503458,0.999197818162794
