model_type,input_type,2,4,6,8,12,16,20,24,32
A7X,latent,0.7,0.778,0.814,0.829,0.83,0.837,0.835,0.834,0.841
A7X,raw,0.828,0.828,0.828,0.828,0.828,0.828,0.828,0.828,0.828
MCR,latent,-0.455,0.656,0.755,0.768,0.786,0.789,0.787,0.813,0.828
MCR,raw,0.828,0.828,0.828,0.828,0.828,0.828,0.828,0.828,0.828
MNM,latent,0.681,0.805,0.826,0.841,0.852,0.855,0.857,0.854,0.852
MNM,raw,0.828,0.828,0.828,0.828,0.828,0.828,0.828,0.828,0.828
PR,latent,0.697,0.789,0.822,0.841,0.851,0.859,0.859,0.855,0.855
PR,raw,0.828,0.828,0.828,0.828,0.828,0.828,0.828,0.828,0.828
VB,latent,0.711,0.784,,0.802,,0.837,,,0.847
VB,raw,0.828,0.828,,0.828,,0.828,,,0.828
