,directory,r2,n_focal,size
0,zz294_VAE_saved_sims_sgLV_I3_sgLV_B97_T3_fixed,0.9999753484250661,3,24576000
1,zz294_VAE_saved_sims_bgLV_I6_bgLV_B42_T8_random,0.9127984235423041,8,65536000
2,zz294_VAE_saved_sims_bgLV_I3_bgLV_B95_T5_random,0.7133512490973354,5,40960000
3,zz294_VAE_saved_sims_bgLV_I4_bgLV_B45_T5_random,0.9336958370974948,5,40960000
4,zz294_VAE_saved_sims_oscillation_oscillation_T2_Data2,0.788476101533262,2,16384000
5,zz294_VAE_saved_sims_bgLV_I12_bgLV_B5_T5_random,0.9990660282413144,5,40960000
6,zz294_VAE_saved_sims_dgLV_I1_dgLV_B95_T5_fixed,0.8340822882366367,5,40960000
7,zz294_VAE_saved_sims_bgLV_Prev_Jun11_I3_bgLV_B98_T2_random,0.8853793767142145,2,16384000
8,zz294_VAE_saved_sims_bgLV_Prev_Jun11_I2_bgLV_B92_T8_random,0.9392501042469583,8,65536000
9,zz294_VAE_saved_sims_bgLV_Prev_Jun11_I5_bgLV_B98_T2_random,0.9596810919600888,2,16384000
10,zz294_VAE_saved_sims_bgLV_I3_bgLV_B97_T3_fixed,0.9997168814525131,3,24576000
11,zz294_VAE_saved_sims_bgLV_I8_bgLV_B17_T3_random,0.9898192350936543,3,24576000
12,zz294_VAE_saved_sims_bgLV_Prev_Jun11_I3_bgLV_B90_T10_random,0.8783262313119069,10,81920000
13,zz294_VAE_saved_sims_bgLV_I1_bgLV_B97_T3_random,0.8385793704126039,3,24576000
14,zz294_VAE_saved_sims_bgLV_I5_bgLV_B42_T8_random,0.8274756935145624,8,65536000
15,zz294_VAE_saved_sims_bgLV_I3_bgLV_B97_T3_random,0.6654524452119732,3,24576000
16,zz294_VAE_saved_sims_bgLV_Prev_Jun11_I2_bgLV_B95_T5_random,0.9554540808381173,5,40960000
17,zz294_VAE_saved_sims_bgLV_Prev_Jun11_I8_bgLV_B92_T8_random,0.7360466913470445,8,65536000
18,zz294_VAE_saved_sims_bgLV_Prev_Jun11_I5_bgLV_B97_T3_random,0.9279688666454808,3,24576000
19,zz294_VAE_saved_sims_bgLV_I2_bgLV_B97_T3_fixed,0.997166834314488,3,24576000
20,zz294_VAE_saved_sims_bgLV_I2_bgLV_B92_T8_random,0.5545020060923606,8,65536000
21,zz294_VAE_saved_sims_bgLV_Prev_Jun11_I2_bgLV_B90_T10_random,0.9275167975596021,10,81920000
22,zz294_VAE_saved_sims_bgLV_Prev_Jun11_I3_bgLV_B97_T3_fixed,0.9997538574976059,3,24576000
23,zz294_VAE_saved_sims_bgLV_Prev_Jun11_I9_bgLV_B90_T10_random,0.6153846848766924,10,81920000
24,zz294_VAE_saved_sims_bgLV_I8_bgLV_B10_T10_random,0.971074313498317,10,81920000
25,zz294_VAE_saved_sims_bgLV_Prev_Jun11_I1_bgLV_B97_T3_fixed,0.9995818750550037,3,24576000
26,zz294_VAE_saved_sims_oscillation_oscillation_T2_Data1,0.9676793692913898,2,16384000
27,zz294_VAE_saved_sims_bgLV_Prev_Jun11_I9_bgLV_B95_T5_random,0.6784827588086357,5,40960000
28,zz294_VAE_saved_sims_bgLV_Prev_Jun11_I1_bgLV_B95_T5_fixed,0.9983411485224273,5,40960000
29,zz294_VAE_saved_sims_bgLV_I2_bgLV_B92_T8_fixed,0.9777634376652728,8,65536000
30,zz294_VAE_saved_sims_dgLV_I2_dgLV_B97_T3_fixed,0.9863107051376707,3,24576000
31,zz294_VAE_saved_sims_bgLV_I3_bgLV_B92_T8_fixed,0.998611411734501,8,65536000
32,zz294_VAE_saved_sims_bgLV_I11_bgLV_B2_T8_random,0.9933368494413787,8,65536000
33,zz294_VAE_saved_sims_bgLV_I10_bgLV_B0_T10_random,0.9984404154121121,10,81920000
34,zz294_VAE_saved_sims_bgLV_I8_bgLV_B18_T2_random,0.9873553088834118,2,16384000
35,zz294_VAE_saved_sims_bgLV_Prev_Jun11_I3_bgLV_B95_T5_fixed,0.9991610918661404,5,40960000
36,zz294_VAE_saved_sims_bgLV_I10_bgLV_B5_T5_random,0.9993604277742963,5,40960000
37,zz294_VAE_saved_sims_oscillation_oscillation_T2_Data6,0.6979539708581819,2,16384000
38,zz294_VAE_saved_sims_sgLV_I1_sgLV_B97_T3_fixed,0.9998752170959001,3,24576000
39,zz294_VAE_saved_sims_bgLV_I2_bgLV_B98_T2_random,0.840995903801906,2,16384000
40,zz294_VAE_saved_sims_dgLV_I1_dgLV_B97_T3_fixed,0.933105089156002,3,24576000
41,zz294_VAE_saved_sims_bgLV_Prev_Jun11_I8_bgLV_B98_T2_random,0.4538746521199124,2,16384000
42,zz294_VAE_saved_sims_bgLV_Prev_Jun11_I4_bgLV_B95_T5_random,0.9570729114445367,5,40960000
43,zz294_VAE_saved_sims_bgLV_I7_bgLV_B10_T10_random,0.994552678143037,10,81920000
44,zz294_VAE_saved_sims_bgLV_I1_bgLV_B90_T10_fixed,0.9926321365829127,10,81920000
45,zz294_VAE_saved_sims_sgLV_I3_sgLV_B91_T9_fixed,0.9996694781307461,9,73728000
46,zz294_VAE_saved_sims_bgLV_I8_bgLV_B12_T8_random,0.972073959554201,8,65536000
47,zz294_VAE_saved_sims_bgLV_I5_bgLV_B45_T5_random,0.5944031074158849,5,40960000
48,zz294_VAE_saved_sims_bgLV_I11_bgLV_B5_T5_random,0.9980919222424208,5,40960000
49,zz294_VAE_saved_sims_bgLV_I4_bgLV_B40_T10_random,0.9047325436150065,10,81920000
50,zz294_VAE_saved_sims_bgLV_I2_bgLV_B98_T2_fixed,0.999548782371814,2,16384000
51,zz294_VAE_saved_sims_dgLV_I5_dgLV_B98_T2_fixed,0.997821508380326,2,16384000
52,zz294_VAE_saved_sims_sgLV_I3_sgLV_B95_T5_fixed,0.9999444405861939,5,40960000
53,zz294_VAE_saved_sims_dgLV_I1_dgLV_B92_T8_fixed,0.817075762012048,8,65536000
54,zz294_VAE_saved_sims_bgLV_I7_bgLV_B12_T8_random,0.9921112385142561,8,65536000
55,zz294_VAE_saved_sims_bgLV_Prev_Jun11_I2_bgLV_B92_T8_fixed,0.9981634861944316,8,65536000
56,zz294_VAE_saved_sims_bgLV_I9_bgLV_B10_T10_random,0.973825850442338,10,81920000
57,zz294_VAE_saved_sims_bgLV_I2_bgLV_B97_T3_random,0.7394909716598325,3,24576000
58,zz294_VAE_saved_sims_dgLV_I2_dgLV_B98_T2_fixed,0.9819012727747806,2,16384000
59,zz294_VAE_saved_sims_bgLV_I6_bgLV_B40_T10_random,0.8790152073671333,10,81920000
60,zz294_VAE_saved_sims_bgLV_I3_bgLV_B95_T5_fixed,0.998048285430573,5,40960000
61,zz294_VAE_saved_sims_bgLV_Prev_Jun11_I2_bgLV_B98_T2_fixed,0.9999504541991827,2,16384000
62,zz294_VAE_saved_sims_bgLV_I9_bgLV_B15_T5_random,0.9278482316284941,5,40960000
63,zz294_VAE_saved_sims_bgLV_Prev_Jun11_I7_bgLV_B90_T10_random,-0.9354021212577408,10,81920000
64,zz294_VAE_saved_sims_bgLV_Prev_Jun11_I1_bgLV_B92_T8_random,0.018346079099885615,8,65536000
65,zz294_VAE_saved_sims_bgLV_Prev_Jun11_I5_bgLV_B95_T5_random,0.899383573074666,5,40960000
66,zz294_VAE_saved_sims_bgLV_I10_bgLV_B2_T8_random,0.9986452234607541,8,65536000
67,zz294_VAE_saved_sims_bgLV_Prev_Jun11_I6_bgLV_B92_T8_random,0.9148111805563927,8,65536000
68,zz294_VAE_saved_sims_dgLV_I2_dgLV_B92_T8_fixed,0.9070254394874787,8,65536000
69,zz294_VAE_saved_sims_bgLV_Prev_Jun11_I5_bgLV_B90_T10_random,0.9193771825244617,10,81920000
70,zz294_VAE_saved_sims_oscillation_oscillation_T2_Data7,0.742700095583682,2,16384000
71,zz294_VAE_saved_sims_bgLV_I7_bgLV_B18_T2_random,0.9935609086024084,2,16384000
72,zz294_VAE_saved_sims_bgLV_I2_bgLV_B90_T10_random,0.6224165333211835,10,81920000
73,zz294_VAE_saved_sims_bgLV_Prev_Jun11_I3_bgLV_B95_T5_random,0.904701441156519,5,40960000
74,zz294_VAE_saved_sims_bgLV_Prev_Jun11_I3_bgLV_B97_T3_random,0.9008067232905688,3,24576000
75,zz294_VAE_saved_sims_dgLV_I5_dgLV_B97_T3_fixed,0.9616158751614582,3,24576000
76,zz294_VAE_saved_sims_bgLV_I9_bgLV_B18_T2_random,0.9844446407722564,2,16384000
77,zz294_VAE_saved_sims_bgLV_Prev_Jun11_I9_bgLV_B97_T3_random,0.7383006045665246,3,24576000
78,zz294_VAE_saved_sims_bgLV_Prev_Jun11_I6_bgLV_B97_T3_random,0.8028036759851802,3,24576000
79,zz294_VAE_saved_sims_bgLV_I11_bgLV_B8_T2_random,0.9998035139145836,2,16384000
80,zz294_VAE_saved_sims_bgLV_I1_bgLV_B92_T8_fixed,0.9966281827272476,8,65536000
81,zz294_VAE_saved_sims_bgLV_I2_bgLV_B90_T10_fixed,0.9964226285006363,10,81920000
82,zz294_VAE_saved_sims_bgLV_I12_bgLV_B7_T3_random,0.999044560515752,3,24576000
83,zz294_VAE_saved_sims_bgLV_Prev_Jun11_I8_bgLV_B97_T3_random,0.7538375383604639,3,24576000
84,zz294_VAE_saved_sims_bgLV_I8_bgLV_B15_T5_random,0.9715996372382726,5,40960000
85,zz294_VAE_saved_sims_bgLV_I1_bgLV_B98_T2_fixed,0.9997129465578042,2,16384000
86,zz294_VAE_saved_sims_bgLV_Prev_Jun11_I7_bgLV_B98_T2_random,0.6904577642150069,2,16384000
87,zz294_VAE_saved_sims_bgLV_I12_bgLV_B8_T2_random,0.9988356438455017,2,16384000
88,zz294_VAE_saved_sims_bgLV_Prev_Jun11_I1_bgLV_B92_T8_fixed,0.9894809541340512,8,65536000
89,zz294_VAE_saved_sims_bgLV_I4_bgLV_B42_T8_random,0.8923341697612877,8,65536000
90,zz294_VAE_saved_sims_bgLV_Prev_Jun11_I3_bgLV_B98_T2_fixed,0.9993099313812582,2,16384000
91,zz294_VAE_saved_sims_bgLV_Prev_Jun11_I6_bgLV_B95_T5_random,0.9097600956074212,5,40960000
92,zz294_VAE_saved_sims_bgLV_Prev_Jun11_I2_bgLV_B90_T10_fixed,0.9955552208785056,10,81920000
93,zz294_VAE_saved_sims_bgLV_I4_bgLV_B48_T2_random,0.9622327806303118,2,16384000
94,zz294_VAE_saved_sims_bgLV_Prev_Jun11_I5_bgLV_B92_T8_random,0.91762101466668,8,65536000
95,zz294_VAE_saved_sims_bgLV_Prev_Jun11_I1_bgLV_B90_T10_random,0.6807021794475105,10,81920000
96,zz294_VAE_saved_sims_bgLV_Prev_Jun11_I2_bgLV_B98_T2_random,0.9063684246953645,2,16384000
97,zz294_VAE_saved_sims_bgLV_I2_bgLV_B95_T5_random,0.686431426852252,5,40960000
98,zz294_VAE_saved_sims_bgLV_I12_bgLV_B2_T8_random,0.999024858648296,8,65536000
99,zz294_VAE_saved_sims_bgLV_Prev_Jun11_I4_bgLV_B98_T2_random,0.9617298337910322,2,16384000
100,zz294_VAE_saved_sims_bgLV_I11_bgLV_B7_T3_random,0.9982513628740421,3,24576000
101,zz294_VAE_saved_sims_bgLV_I10_bgLV_B7_T3_random,0.9993782030852429,3,24576000
102,zz294_VAE_saved_sims_bgLV_I3_bgLV_B98_T2_fixed,0.9990375202398638,2,16384000
103,zz294_VAE_saved_sims_bgLV_I5_bgLV_B48_T2_random,0.7214384932008171,2,16384000
104,zz294_VAE_saved_sims_bgLV_I2_bgLV_B95_T5_fixed,0.9941322177436738,5,40960000
